 Id ;Hashtag;Seed Tweets;Expanded Tweets;Hashtag Tweets;User Count;Organized Labels;Other Labels
312;tcot;12029;255837;10193;798;ORGANIZED;
313;strongertogether;2345;255078;3614;528;ORGANIZED;"POLITICAL	HILLARY"
314;unitedairlines;1304;253366;2538;829;ORGANIC;"NON-POLITICAL IRRELEVANT	"
315;tcot;3104;252978;5041;500;ORGANIZED;
316;unitedairlines;1325;252894;2047;867;ORGANIC;"NON-POLITICAL IRRELEVANT	"
317;makeamericagreatagain;7433;252810;11431;1650;ORGANIZED;"POLITICAL	TRUMP	"
318;makeamericagreatagain;7433;252810;11431;1650;ORGANIZED;"POLITICAL	TRUMP	"
319;unitedairlines;1329;251886;1849;884;ORGANIC;"NON-POLITICAL IRRELEVANT	"
320;strongertogether;2572;251648;3622;504;ORGANIZED;"POLITICAL	HILLARY"
321;unitedairlines;1312;251099;1975;857;ORGANIC;"NON-POLITICAL IRRELEVANT	"
322;unitedairlines;1421;250438;2031;867;ORGANIC;"NON-POLITICAL IRRELEVANT	"
323;unitedairlines;1234;247264;2174;825;ORGANIC;"NON-POLITICAL IRRELEVANT	"
324;strongertogether;2787;245718;3664;520;ORGANIZED;"POLITICAL	HILLARY"
325;unitedairlines;1363;245548;293;817;ORGANIC;
326;strongertogether;2822;245065;3894;523;ORGANIZED;"POLITICAL	HILLARY"
327;unitedairlines;1315;244920;2205;861;ORGANIC;"NON-POLITICAL IRRELEVANT	"
328;unitedairlines;1353;244791;2036;821;ORGANIC;"NON-POLITICAL IRRELEVANT	"
329;strongertogether;2981;243389;4244;515;ORGANIZED;"POLITICAL	HILLARY"
330;unitedairlines;1251;242938;2211;864;ORGANIC;"NON-POLITICAL IRRELEVANT	"
331;strongertogether;2349;241823;2792;568;ORGANIZED;"POLITICAL	HILLARY"
332;unitedairlines;1398;241796;2016;839;ORGANIC;"NON-POLITICAL IRRELEVANT	"
333;newunitedairlinesmottos;1432;240824;2675;684;ORGANIC;"NON-POLITICAL IRRELEVANT	"
334;trumptrain;5729;238909;11126;1081;ORGANIZED;"POLITICAL	TRUMP	"
335;newunitedairlinesmottos;1396;238895;2462;735;ORGANIC;"NON-POLITICAL IRRELEVANT	"
336;strongertogether;2438;238760;3738;471;ORGANIZED;"POLITICAL	HILLARY"
337;maga3x;5455;238749;7121;999;ORGANIZED;"POLITICAL	TRUMP	"
338;unitedairlines;1277;237592;2097;877;ORGANIC;"NON-POLITICAL IRRELEVANT	"
339;strongertogether;2845;237571;3364;461;ORGANIZED;"POLITICAL	HILLARY"
340;unitedairlines;1369;236887;2017;835;ORGANIC;"NON-POLITICAL IRRELEVANT	"
341;unitedairlines;1410;236418;2130;819;ORGANIC;"NON-POLITICAL IRRELEVANT	"
342;newunitedairlinesmottos;1578;234903;2349;686;ORGANIC;"NON-POLITICAL IRRELEVANT	"
343;podestaemails15;1291;234468;2380;660;ORGANIZED;"POLITICAL	TRUMP	"
344;crookedhillary;1145;231020;4897;489;ORGANIZED;"POLITICAL	TRUMP	"
345;imwithher;2369;230437;6232;564;ORGANIZED;"POLITICAL	HILLARY"
346;news;15391;227522;88873;369;ORGANIC;"NON-POLITICAL IRRELEVANT	"
347;gop;5389;225028;3600;677;ORGANIZED;
348;workersday;2083;224080;1701;780;ORGANIC;"NON-POLITICAL IRRELEVANT	"
349;wikileaks;1395;223880;5840;400;ORGANIZED;"POLITICAL	TRUMP	"
350;newunitedairlinesmottos;1498;223252;2403;662;ORGANIC;"NON-POLITICAL IRRELEVANT	"
351;news;14674;223099;83335;377;ORGANIC;"NON-POLITICAL IRRELEVANT	"
352;maga;5736;223079;28177;941;;"POLITICAL	TRUMP	"
353;newunitedairlinesmottos;1586;221815;2361;700;ORGANIC;"NON-POLITICAL IRRELEVANT	"
354;strongertogether;2729;221692;2611;601;ORGANIZED;"POLITICAL	HILLARY"
355;podestaemails15;1364;220695;2249;640;ORGANIZED;"POLITICAL	TRUMP	"
356;unitedairlines;1089;220578;1697;708;ORGANIC;"NON-POLITICAL IRRELEVANT	"
357;imwithher;2427;220526;5466;572;ORGANIZED;"POLITICAL	HILLARY"
358;strongertogether;2935;219941;3300;452;ORGANIZED;"POLITICAL	HILLARY"
359;strongertogether;2924;219475;2014;638;ORGANIZED;"POLITICAL	HILLARY"
360;unitedairlines;1199;219473;2412;729;ORGANIC;"NON-POLITICAL IRRELEVANT	"
361;newunitedairlinesmottos;1431;219170;2461;672;ORGANIC;"NON-POLITICAL IRRELEVANT	"
362;podestaemails15;1380;218685;2048;599;ORGANIZED;"POLITICAL	TRUMP	"
363;strongertogether;2572;218628;3205;494;ORGANIZED;"POLITICAL	HILLARY"
364;strongertogether;2463;218207;2732;594;ORGANIZED;"POLITICAL	HILLARY"
365;dedicateyourvotetoawoman;673;217965;475;443;;
366;imwithher;2529;217962;6081;516;ORGANIZED;"POLITICAL	HILLARY"
367;news;14754;217401;84097;360;ORGANIC;"NON-POLITICAL IRRELEVANT	"
368;news;12878;216356;65603;416;ORGANIC;"NON-POLITICAL IRRELEVANT	"
369;newunitedairlinesmottos;1603;216326;2656;733;ORGANIC;"NON-POLITICAL IRRELEVANT	"
370;strongertogether;2504;216130;3215;436;ORGANIZED;"POLITICAL	HILLARY"
371;strongertogether;2261;215229;3590;433;ORGANIZED;"POLITICAL	HILLARY"
372;podestaemails15;1337;214750;2061;605;ORGANIZED;"POLITICAL	TRUMP	"
373;strongertogether;2417;213364;2786;520;ORGANIZED;"POLITICAL	HILLARY"
374;giftideas;1340;212886;3843;482;ORGANIZED;"NON-POLITICAL IRRELEVANT	"
375;maga;2153;212728;12091;731;;"POLITICAL	TRUMP	"
376;podestaemails15;1301;212337;2134;632;ORGANIZED;"POLITICAL	TRUMP	"
377;newunitedairlinesmottos;1397;212281;2023;662;ORGANIC;"NON-POLITICAL IRRELEVANT	"
378;news;14439;212035;81808;356;ORGANIC;"NON-POLITICAL IRRELEVANT	"
379;news;14315;211996;82754;350;ORGANIC;"NON-POLITICAL IRRELEVANT	"
380;imwithher;1693;211953;8181;810;ORGANIZED;"POLITICAL	HILLARY"
381;strongertogether;3166;211371;3271;587;ORGANIZED;"POLITICAL	HILLARY"
382;newunitedairlinesmottos;1480;211149;2478;676;ORGANIC;"NON-POLITICAL IRRELEVANT	"
383;votetrumppence16;1888;210736;2482;426;;"POLITICAL	TRUMP	"
384;newunitedairlinesmottos;1321;210681;2664;687;ORGANIC;"NON-POLITICAL IRRELEVANT	"
385;podestaemails15;1306;209628;2307;612;ORGANIZED;"POLITICAL	TRUMP	"
386;strongertogether;1888;209588;2958;700;ORGANIZED;"POLITICAL	HILLARY"
387;strongertogether;2727;209573;3927;576;ORGANIZED;"POLITICAL	HILLARY"
388;newunitedairlinesmottos;1584;208764;2514;648;ORGANIC;"NON-POLITICAL IRRELEVANT	"
389;newunitedairlinesmottos;1457;207845;2381;661;ORGANIC;"NON-POLITICAL IRRELEVANT	"
390;lockherup;1673;207061;3035;393;ORGANIZED;"POLITICAL	TRUMP	"
391;podestaemails15;1256;206902;2084;595;ORGANIZED;"POLITICAL	TRUMP	"
392;strongertogether;3044;205706;4002;600;ORGANIZED;"POLITICAL	HILLARY"
393;trumppence16;1242;205329;4481;323;ORGANIZED;"POLITICAL	TRUMP	"
394;warrenbeatty;727;205281;847;663;ORGANIC_T;
395;trumpprotest;1105;204357;2585;740;ORGANIZED;"POLITICAL	HILLARY"
396;strongertogether;2448;204304;3360;421;ORGANIZED;"POLITICAL	HILLARY"
397;trumppence16;5850;204211;9142;965;ORGANIZED;"POLITICAL	TRUMP	"
398;notmypresident;1048;203628;3451;592;;"POLITICAL	HILLARY"
399;trumpprotest;1082;203356;2232;709;ORGANIZED;"POLITICAL	HILLARY"
400;newunitedairlinesmottos;1366;202730;2371;661;ORGANIC;"NON-POLITICAL IRRELEVANT	"
401;trumpprotest;1038;202713;1973;714;ORGANIZED;"POLITICAL	HILLARY"
402;newunitedairlinesmottos;1539;202435;2308;682;ORGANIC;"NON-POLITICAL IRRELEVANT	"
403;wikileaks;2297;202282;8051;784;ORGANIZED;"POLITICAL	TRUMP	"
404;tcot;4338;201686;5391;545;ORGANIZED;
405;newunitedairlinesmottos;1298;201631;2472;645;ORGANIC;"NON-POLITICAL IRRELEVANT	"
406;strongertogether;2838;201320;3207;448;ORGANIZED;"POLITICAL	HILLARY"
407;votetrump;804;201119;0;301;ORGANIZED;
408;maga;4464;200140;31965;897;;"POLITICAL	TRUMP	"
409;strongertogether;2678;199897;2859;480;ORGANIZED;"POLITICAL	HILLARY"
410;newunitedairlinesmottos;1653;199682;2682;675;ORGANIC;"NON-POLITICAL IRRELEVANT	"
411;nationalsiblingsday;843;198470;1069;672;ORGANIC;"NON-POLITICAL IRRELEVANT	"
412;labourday;1802;198182;3806;701;ORGANIC;"NON-POLITICAL IRRELEVANT	"
413;newunitedairlinesmottos;1337;197325;2400;683;ORGANIC;"NON-POLITICAL IRRELEVANT	"
414;neverhillary;1062;197037;0;301;ORGANIZED;
415;imwithher;2583;196070;5810;507;ORGANIZED;"POLITICAL	HILLARY"
416;imwithher;2119;195854;5479;538;ORGANIZED;"POLITICAL	HILLARY"
417;strongertogether;2552;195518;4762;673;ORGANIZED;"POLITICAL	HILLARY"
418;imwithher;2513;195399;6042;484;ORGANIZED;"POLITICAL	HILLARY"
419;workersday;1994;194928;1563;699;ORGANIC;"NON-POLITICAL IRRELEVANT	"
420;trumpprotest;996;194088;2074;692;ORGANIZED;"POLITICAL	HILLARY"
421;trumptrain;1552;194042;3848;774;ORGANIZED;"POLITICAL	TRUMP	"
422;trumptrain;1552;194042;3848;774;ORGANIZED;"POLITICAL	TRUMP	"
423;academyawards;708;193740;1120;494;ORGANIC;"NON-POLITICAL IRRELEVANT	"
424;newunitedairlinesmottos;1100;193633;1973;655;ORGANIC;"NON-POLITICAL IRRELEVANT	"
425;trumptrain;2239;192219;4943;792;ORGANIZED;"POLITICAL	TRUMP	"
426;strongertogether;2965;192094;4446;587;ORGANIZED;"POLITICAL	HILLARY"
427;imwithher;2281;191978;5492;564;ORGANIZED;"POLITICAL	HILLARY"
428;draintheswamp;1467;190387;9739;714;ORGANIZED;"POLITICAL	TRUMP	"
429;newunitedairlinesmottos;1457;190264;2316;641;ORGANIC;"NON-POLITICAL IRRELEVANT	"
430;wikileaks;3983;190078;6716;571;ORGANIZED;"POLITICAL	TRUMP	"
431;imwithher;2233;189342;5055;496;ORGANIZED;"POLITICAL	HILLARY"
432;boycotthamilton;1910;189133;3370;805;ORGANIZED;"POLITICAL	TRUMP	"
433;imwithher;3165;188885;1099;212;ORGANIZED;"POLITICAL	HILLARY"
434;maga;5194;188381;32808;909;;"POLITICAL	TRUMP	"
435;newunitedairlinesmottos;1102;188141;2552;620;ORGANIC;"NON-POLITICAL IRRELEVANT	"
436;maga;2128;187888;11394;802;;"POLITICAL	TRUMP	"
437;draintheswamp;2575;187657;11344;815;ORGANIZED;"POLITICAL	TRUMP	"
438;trumpprotest;1079;187340;2069;687;ORGANIZED;"POLITICAL	HILLARY"
439;lovetrumpshate;2625;185844;1542;592;ORGANIZED;"POLITICAL	HILLARY"
440;imwithher;2192;185548;5487;453;ORGANIZED;"POLITICAL	HILLARY"
441;election;3322;185264;1611;551;ORGANIC;"POLITICAL	IRRELEVANT	"
442;maga;4336;184982;29826;781;;"POLITICAL	TRUMP	"
443;imwithher;1855;184939;3987;486;ORGANIZED;"POLITICAL	HILLARY"
444;maga;2251;183663;11692;731;;"POLITICAL	TRUMP	"
445;imwithher;2416;181953;5814;480;ORGANIZED;"POLITICAL	HILLARY"
446;imwithher;2379;181931;5062;553;ORGANIZED;"POLITICAL	HILLARY"
447;imwithher;1427;181405;6611;666;ORGANIZED;"POLITICAL	HILLARY"
448;labourday;2013;180411;2275;572;ORGANIC;"NON-POLITICAL IRRELEVANT	"
449;trumppence16;1256;180401;3854;657;ORGANIZED;"POLITICAL	TRUMP	"
450;imwithher;2315;180371;4820;486;ORGANIZED;"POLITICAL	HILLARY"
451;newunitedairlinesmottos;1205;180304;2449;618;ORGANIC;"NON-POLITICAL IRRELEVANT	"
452;jillnothill;4467;180301;1364;475;ORGANIZED;"POLITICAL	"
453;trumppence16;1519;178406;4363;738;ORGANIZED;"POLITICAL	TRUMP	"
454;hillaryforprison;1281;178015;2361;311;ORGANIZED;
455;hillaryforprison;1281;178015;2361;311;ORGANIZED;"POLITICAL	TRUMP	"
456;imwithher;2237;176155;5202;491;ORGANIZED;"POLITICAL	HILLARY"
457;trumptrain;3556;176012;6245;498;ORGANIZED;"POLITICAL	TRUMP	"
458;pjnet;4678;175208;6142;527;ORGANIZED;
459;imwithher;1393;173904;3064;381;ORGANIZED;"POLITICAL	HILLARY"
460;warrenbeatty;1010;173712;868;670;ORGANIC_T;
461;votetrump;3701;171793;6212;874;ORGANIZED;"POLITICAL	TRUMP	"
462;imwithher;2230;171627;4451;458;ORGANIZED;"POLITICAL	HILLARY"
463;labourday;1879;171213;2770;632;ORGANIC;"NON-POLITICAL IRRELEVANT	"
464;votetrump;3703;170753;6190;856;ORGANIZED;"POLITICAL	TRUMP	"
465;lockherup;3924;170281;3500;563;ORGANIZED;"POLITICAL	TRUMP	"
466;lockherup;3924;170281;3500;563;ORGANIZED;"POLITICAL	TRUMP	"
467;pjnet;4793;170237;6187;452;ORGANIZED;
468;votetrump;3169;169736;4740;897;ORGANIZED;"POLITICAL	TRUMP	"
469;trumptrain;784;167872;0;301;ORGANIZED;
470;boycotthamilton;2088;167716;3593;790;ORGANIZED;"POLITICAL	TRUMP	"
471;trumppence16;891;165658;3627;471;ORGANIZED;"POLITICAL	TRUMP	"
472;trumptrain;3733;165466;5957;477;ORGANIZED;"POLITICAL	TRUMP	"
473;maga;4436;163296;28063;723;;"POLITICAL	TRUMP	"
474;imwithher;1828;163188;4355;421;ORGANIZED;"POLITICAL	HILLARY"
475;trumpmovement;404;162955;555;301;;
476;hillaryindictment;1257;159009;2261;304;ORGANIZED;"POLITICAL	TRUMP	"
477;imwithher;2059;158301;4798;428;ORGANIZED;"POLITICAL	HILLARY"
478;trumppence16;1361;157669;0;301;ORGANIZED;
479;nodapl;2038;157573;4137;639;ORGANIZED;"POLITICAL	IRRELEVANT	"
480;nodapl;2257;156602;4988;625;ORGANIZED;"POLITICAL	IRRELEVANT	"
481;tcot;3987;154620;5811;352;ORGANIZED;
482;labourday;1553;153045;2059;750;ORGANIC;"NON-POLITICAL IRRELEVANT	"
483;nodapl;2609;152507;5792;649;ORGANIZED;"POLITICAL	IRRELEVANT	"
484;pjnet;6916;152187;4862;414;ORGANIZED;
485;nodapl;2136;151224;4248;612;ORGANIZED;"POLITICAL	IRRELEVANT	"
486;nodapl;2202;150625;4656;619;ORGANIZED;"POLITICAL	IRRELEVANT	"
487;nodapl;2061;149846;4702;619;ORGANIZED;"POLITICAL	IRRELEVANT	"
488;nodapl;2360;149791;4945;626;ORGANIZED;"POLITICAL	IRRELEVANT	"
489;strongertogether;1745;149326;2059;282;ORGANIZED;"POLITICAL	HILLARY"
490;nodapl;2857;148966;7618;640;ORGANIZED;"POLITICAL	IRRELEVANT	"
491;nodapl;2135;148646;5031;623;ORGANIZED;"POLITICAL	IRRELEVANT	"
492;bigdata;2015;148644;7956;615;ORGANIC;"NON-POLITICAL IRRELEVANT	"
493;nodapl;2363;148628;4357;655;ORGANIZED;"POLITICAL	IRRELEVANT	"
494;nodapl;2560;148423;4630;626;ORGANIZED;"POLITICAL	IRRELEVANT	"
495;nodapl;2299;148130;5153;652;ORGANIZED;"POLITICAL	IRRELEVANT	"
496;nodapl;2220;148114;4275;631;ORGANIZED;"POLITICAL	IRRELEVANT	"
497;nodapl;2279;147457;5481;614;ORGANIZED;"POLITICAL	IRRELEVANT	"
498;imwithher;2168;147175;5346;438;ORGANIZED;"POLITICAL	HILLARY"
499;nodapl;2751;147155;5704;609;ORGANIZED;"POLITICAL	IRRELEVANT	"
500;nodapl;2465;146970;5088;635;ORGANIZED;"POLITICAL	IRRELEVANT	"
501;nodapl;2492;146900;5543;625;ORGANIZED;"POLITICAL	IRRELEVANT	"
502;nodapl;1984;146890;3759;625;ORGANIZED;"POLITICAL	IRRELEVANT	"
503;nodapl;2411;146778;5137;621;ORGANIZED;"POLITICAL	IRRELEVANT	"
504;nodapl;2551;146722;5765;627;ORGANIZED;"POLITICAL	IRRELEVANT	"
505;bigdata;2083;146416;10119;520;ORGANIC;"NON-POLITICAL IRRELEVANT	"
506;nodapl;2393;146406;5135;603;ORGANIZED;"POLITICAL	IRRELEVANT	"
507;nodapl;3047;145483;5620;626;ORGANIZED;"POLITICAL	IRRELEVANT	"
508;nodapl;2537;145423;4563;609;ORGANIZED;"POLITICAL	IRRELEVANT	"
509;nodapl;2354;145054;4680;603;ORGANIZED;"POLITICAL	IRRELEVANT	"
510;nodapl;2619;145025;6041;600;ORGANIZED;"POLITICAL	IRRELEVANT	"
511;nodapl;2342;144683;4930;607;ORGANIZED;"POLITICAL	IRRELEVANT	"
512;nodapl;2390;144420;4395;584;ORGANIZED;"POLITICAL	IRRELEVANT	"
513;nodapl;2499;144410;4427;620;ORGANIZED;"POLITICAL	IRRELEVANT	"
514;votetrump;2970;144246;5351;839;ORGANIZED;"POLITICAL	TRUMP	"
515;trumptrain;1421;144179;4406;576;ORGANIZED;"POLITICAL	TRUMP	"
516;nodapl;2755;144058;4763;630;ORGANIZED;"POLITICAL	IRRELEVANT	"
517;nodapl;2416;143920;4419;619;ORGANIZED;"POLITICAL	IRRELEVANT	"
518;nodapl;1989;143869;5008;615;ORGANIZED;"POLITICAL	IRRELEVANT	"
519;nodapl;2447;143586;5042;600;ORGANIZED;"POLITICAL	IRRELEVANT	"
520;bigdata;1997;143066;8450;456;ORGANIC;"NON-POLITICAL IRRELEVANT	"
521;nodapl;2388;143006;4685;606;ORGANIZED;"POLITICAL	IRRELEVANT	"
522;nodapl;2784;142947;6701;621;ORGANIZED;"POLITICAL	IRRELEVANT	"
523;nodapl;2629;142777;4552;629;ORGANIZED;"POLITICAL	IRRELEVANT	"
524;nodapl;2763;142433;5216;611;ORGANIZED;"POLITICAL	IRRELEVANT	"
525;nodapl;2729;142430;5055;613;ORGANIZED;"POLITICAL	IRRELEVANT	"
526;nodapl;2595;141800;5227;620;ORGANIZED;"POLITICAL	IRRELEVANT	"
527;nodapl;2514;141738;4761;606;ORGANIZED;"POLITICAL	IRRELEVANT	"
528;nodapl;2061;141583;4466;625;ORGANIZED;"POLITICAL	IRRELEVANT	"
529;nodapl;2378;141351;4188;605;ORGANIZED;"POLITICAL	IRRELEVANT	"
530;nodapl;2366;141166;4797;604;ORGANIZED;"POLITICAL	IRRELEVANT	"
531;nodapl;1964;141060;4305;606;ORGANIZED;"POLITICAL	IRRELEVANT	"
532;nodapl;2461;140990;5508;616;ORGANIZED;"POLITICAL	IRRELEVANT	"
533;nodapl;2394;140662;4157;605;ORGANIZED;"POLITICAL	IRRELEVANT	"
534;nodapl;2294;140510;4768;602;ORGANIZED;"POLITICAL	IRRELEVANT	"
535;nodapl;2469;140231;4826;606;ORGANIZED;"POLITICAL	IRRELEVANT	"
536;nodapl;2306;140164;4578;611;ORGANIZED;"POLITICAL	IRRELEVANT	"
537;nodapl;2603;139950;5244;614;ORGANIZED;"POLITICAL	IRRELEVANT	"
538;boycotthamilton;1952;139666;2489;580;ORGANIZED;"POLITICAL	TRUMP	"
539;nodapl;2556;139639;4572;605;ORGANIZED;"POLITICAL	IRRELEVANT	"
540;nodapl;1920;139498;5075;609;ORGANIZED;"POLITICAL	IRRELEVANT	"
541;boycotthamilton;1651;139453;2272;614;ORGANIZED;"POLITICAL	TRUMP	"
542;nodapl;2472;139360;4803;606;ORGANIZED;"POLITICAL	IRRELEVANT	"
543;nodapl;2361;139305;3935;611;ORGANIZED;"POLITICAL	IRRELEVANT	"
544;maga3x;4505;139008;4883;661;ORGANIZED;"POLITICAL	TRUMP	"
545;nodapl;2458;138998;4111;600;ORGANIZED;"POLITICAL	IRRELEVANT	"
546;nodapl;2381;138753;4920;595;ORGANIZED;"POLITICAL	IRRELEVANT	"
547;nodapl;2514;138598;4992;620;ORGANIZED;"POLITICAL	IRRELEVANT	"
548;nodapl;2216;138260;5713;601;ORGANIZED;"POLITICAL	IRRELEVANT	"
549;nodapl;2128;138171;3987;602;ORGANIZED;"POLITICAL	IRRELEVANT	"
550;nodapl;2567;137841;5669;614;ORGANIZED;"POLITICAL	IRRELEVANT	"
551;nodapl;2452;137418;4515;597;ORGANIZED;"POLITICAL	IRRELEVANT	"
552;nodapl;2238;137409;5528;599;ORGANIZED;"POLITICAL	IRRELEVANT	"
553;nodapl;2928;137277;5909;599;ORGANIZED;"POLITICAL	IRRELEVANT	"
554;redcarpet;743;137190;965;590;ORGANIC_T;
555;nodapl;2366;136740;4775;598;ORGANIZED;"POLITICAL	IRRELEVANT	"
556;nodapl;2704;136352;4780;599;ORGANIZED;"POLITICAL	IRRELEVANT	"
557;boycotthamilton;1891;136304;2707;592;ORGANIZED;"POLITICAL	TRUMP	"
558;nodapl;2522;135747;7245;591;ORGANIZED;"POLITICAL	IRRELEVANT	"
559;bigdata;1984;135293;9216;495;ORGANIC;"NON-POLITICAL IRRELEVANT	"
560;nodapl;2202;135238;4076;601;ORGANIZED;"POLITICAL	IRRELEVANT	"
561;nodapl;2334;135098;5162;586;ORGANIZED;"POLITICAL	IRRELEVANT	"
562;boycotthamilton;1815;134916;2417;605;ORGANIZED;"POLITICAL	TRUMP	"
563;nodapl;2741;134356;5504;592;ORGANIZED;"POLITICAL	IRRELEVANT	"
564;bigdata;1926;133903;9795;454;ORGANIC;"NON-POLITICAL IRRELEVANT	"
565;nodapl;2282;133640;4634;582;ORGANIZED;"POLITICAL	IRRELEVANT	"
566;trumptrain;3637;133334;6195;565;ORGANIZED;"POLITICAL	TRUMP	"
567;nodapl;2797;132920;8398;568;ORGANIZED;"POLITICAL	IRRELEVANT	"
568;nodapl;3267;132814;8862;600;ORGANIZED;"POLITICAL	IRRELEVANT	"
569;podestaemails14;2003;132519;2053;518;ORGANIZED;"POLITICAL	TRUMP	"
570;magaselfie;2510;132502;2578;444;ORGANIZED;"POLITICAL	TRUMP	"
571;pjnet;2585;132425;1306;286;ORGANIZED;
572;nodapl;2702;131919;4334;581;ORGANIZED;"POLITICAL	IRRELEVANT	"
573;podestaemails14;1511;131829;1784;573;ORGANIZED;"POLITICAL	TRUMP	"
574;boycotthamilton;2083;131814;2590;590;ORGANIZED;"POLITICAL	TRUMP	"
575;boycotthamilton;2024;130737;2449;584;ORGANIZED;"POLITICAL	TRUMP	"
576;boycotthamilton;2125;130666;2918;586;ORGANIZED;"POLITICAL	TRUMP	"
577;podestaemails14;1608;130486;1684;517;ORGANIZED;"POLITICAL	TRUMP	"
578;boycotthamilton;2140;129984;2865;621;ORGANIZED;"POLITICAL	TRUMP	"
579;nodapl;2918;129717;9227;569;ORGANIZED;"POLITICAL	IRRELEVANT	"
580;nodapl;3217;129663;10415;580;ORGANIZED;"POLITICAL	IRRELEVANT	"
581;podestaemails14;1902;129318;2033;489;ORGANIZED;"POLITICAL	TRUMP	"
582;bigdata;1663;128977;8940;505;ORGANIC;"NON-POLITICAL IRRELEVANT	"
583;boycotthamilton;2140;128868;2850;601;ORGANIZED;"POLITICAL	TRUMP	"
584;boycotthamilton;1842;128795;2408;604;ORGANIZED;"POLITICAL	TRUMP	"
585;nodapl;3267;128699;9680;571;ORGANIZED;"POLITICAL	IRRELEVANT	"
586;nodapl;2492;128602;7751;552;ORGANIZED;"POLITICAL	IRRELEVANT	"
587;boycotthamilton;2008;128409;2830;611;ORGANIZED;"POLITICAL	TRUMP	"
588;trumptrain;3480;128353;6848;652;ORGANIZED;"POLITICAL	TRUMP	"
589;boycotthamilton;2072;127233;2400;598;ORGANIZED;"POLITICAL	TRUMP	"
590;draintheswamp;1124;127141;6663;468;ORGANIZED;"POLITICAL	TRUMP	"
591;podestaemails14;1663;127099;1974;480;ORGANIZED;"POLITICAL	TRUMP	"
592;nodapl;2725;126818;6925;574;ORGANIZED;"POLITICAL	IRRELEVANT	"
593;boycotthamilton;1856;126645;2194;652;ORGANIZED;"POLITICAL	TRUMP	"
594;deeplearning;874;126469;3146;458;ORGANIC;"NON-POLITICAL IRRELEVANT	"
595;podestaemails14;1821;126165;1806;493;ORGANIZED;"POLITICAL	TRUMP	"
596;nodapl;3023;125801;8857;560;ORGANIZED;"POLITICAL	IRRELEVANT	"
597;podestaemails14;1663;125104;1866;503;ORGANIZED;"POLITICAL	TRUMP	"
598;tcot;1894;125097;4713;517;ORGANIZED;
599;podestaemails14;1790;124749;2248;483;ORGANIZED;"POLITICAL	TRUMP	"
600;lovetrumpshate;1740;124051;1007;299;ORGANIZED;"POLITICAL	HILLARY"
601;boycotthamilton;2103;123278;2854;611;ORGANIZED;"POLITICAL	TRUMP	"
602;deeplearning;840;122068;2999;407;ORGANIC;"NON-POLITICAL IRRELEVANT	"
603;voterfraud;659;121387;1078;437;ORGANIZED;"POLITICAL	"
604;podestaemails14;1878;121326;1947;487;ORGANIZED;"POLITICAL	TRUMP	"
605;nodapl;2795;121102;11785;528;ORGANIZED;"POLITICAL	IRRELEVANT	"
606;nodapl;3366;120930;9525;561;ORGANIZED;"POLITICAL	IRRELEVANT	"
607;podestaemails14;1824;120867;1730;481;ORGANIZED;"POLITICAL	TRUMP	"
608;bigdata;1679;120756;9256;471;ORGANIC;"NON-POLITICAL IRRELEVANT	"
609;podestaemails14;1804;120665;1827;491;ORGANIZED;"POLITICAL	TRUMP	"
610;boycotthamilton;1889;119755;2698;601;ORGANIZED;"POLITICAL	TRUMP	"
611;americafirst;579;119727;801;181;ORGANIZED_T;
612;tcot;5626;119678;7889;338;ORGANIZED;
613;bigdata;1974;119416;9463;408;ORGANIC;"NON-POLITICAL IRRELEVANT	"
614;wikileaks;3927;119323;6795;847;ORGANIZED;"POLITICAL	TRUMP	"
615;podestaemails14;1641;119285;1868;471;ORGANIZED;"POLITICAL	TRUMP	"
616;nodapl;2714;119018;7645;546;ORGANIZED;"POLITICAL	IRRELEVANT	"
617;votetrump;4213;118947;6273;701;ORGANIZED;"POLITICAL	TRUMP	"
618;americafirst;907;118372;1901;409;ORGANIZED;"POLITICAL	TRUMP	"
619;voterfraud;782;117886;1206;430;ORGANIZED;"POLITICAL	"
620;boycotthamilton;1975;117829;2537;610;ORGANIZED;"POLITICAL	TRUMP	"
621;deeplearning;798;117797;2893;437;ORGANIC;"NON-POLITICAL IRRELEVANT	"
622;boycotthamilton;1798;117507;2521;559;ORGANIZED;"POLITICAL	TRUMP	"
623;boycotthamilton;1844;117454;2943;647;ORGANIZED;"POLITICAL	TRUMP	"
624;imwithher;1696;117088;3544;373;ORGANIZED;"POLITICAL	HILLARY"
625;boycotthamilton;2012;116728;2222;577;ORGANIZED;"POLITICAL	TRUMP	"
626;nodapl;2461;116062;6021;528;ORGANIZED;"POLITICAL	IRRELEVANT	"
627;presidentelecttrump;2102;115900;1444;588;;"POLITICAL	TRUMP	"
628;bigdata;1720;115339;8713;443;ORGANIC;"NON-POLITICAL IRRELEVANT	"
629;americafirst;970;115176;2002;439;ORGANIZED;"POLITICAL	TRUMP	"
630;tcot;1987;115055;3446;388;ORGANIZED;
631;voterfraud;804;114840;1240;449;ORGANIZED;"POLITICAL	"
632;nodapl;3342;114387;12884;488;ORGANIZED;"POLITICAL	IRRELEVANT	"
633;podestaemails14;1829;114115;1917;421;ORGANIZED;"POLITICAL	TRUMP	"
634;votetrumppence16;3738;113813;2012;641;;"POLITICAL	TRUMP	"
635;strongertogether;1131;113763;2576;409;ORGANIZED;"POLITICAL	HILLARY"
