 Id ;Hashtag;Seed Tweets;Expanded Tweets;Hashtag Tweets;User Count;Organized Labels;Other Labels
75;oscars2017;17053;981708;14623;2376;ORGANIC;"NON-POLITICAL IRRELEVANT	"
76;oscars2017;16076;980707;15422;2353;ORGANIC;"NON-POLITICAL IRRELEVANT	"
77;voterfraud;4146;971719;2085;1264;;"POLITICAL	"
78;academyawards;3427;964337;6614;2625;ORGANIC;"NON-POLITICAL IRRELEVANT	"
79;imwithher;12542;947893;7345;939;ORGANIZED;"POLITICAL	HILLARY"
80;teamtrump;5824;933695;2601;1431;;"POLITICAL	TRUMP	"
81;independentcommission;2299;915543;1880;908;;"POLITICAL	IRRELEVANT	"
82;oscars2017;5062;915510;7183;2623;ORGANIC;"NON-POLITICAL IRRELEVANT	"
83;trump2016;4115;905433;21229;1858;;"POLITICAL	TRUMP	"
84;postvotingstressrelief;4012;865171;2404;1982;;"POLITICAL	IRRELEVANT	"
85;livetheoscars;8309;864495;3264;2095;ORGANIC;"NON-POLITICAL IRRELEVANT	"
86;imwithher;11773;850436;2946;965;ORGANIZED;"POLITICAL	HILLARY"
87;envelopegate;2888;845805;3191;2143;ORGANIC;"NON-POLITICAL IRRELEVANT	"
88;trumprussia;4384;825490;50715;1044;;"POLITICAL	IRRELEVANT	"
89;recountmi;6709;823473;3239;1056;;"POLITICAL	"
90;recountpa;6334;764270;1927;1005;;"POLITICAL	"
91;womensday;11457;758502;7274;2550;ORGANIC;"NON-POLITICAL IRRELEVANT	"
92;womensday;6704;756174;5841;2759;ORGANIC;"NON-POLITICAL IRRELEVANT	"
93;internationalwomensday;5845;755205;13096;2806;ORGANIC;"NON-POLITICAL IRRELEVANT	"
94;womensday;6541;754010;6268;2655;ORGANIC;"NON-POLITICAL IRRELEVANT	"
95;internationalwomensday;6103;750857;13808;2764;ORGANIC;"NON-POLITICAL IRRELEVANT	"
96;internationalwomensday;6074;750532;13510;2809;ORGANIC;"NON-POLITICAL IRRELEVANT	"
97;oscarfail;2111;749748;2152;1507;ORGANIC;"NON-POLITICAL IRRELEVANT	"
98;internationalwomensday;6015;747291;13405;2778;ORGANIC;"NON-POLITICAL IRRELEVANT	"
99;internationalwomensday;6093;745664;13244;2777;ORGANIC;"NON-POLITICAL IRRELEVANT	"
100;internationalwomensday;5991;744958;13119;2819;ORGANIC;"NON-POLITICAL IRRELEVANT	"
101;internationalwomensday;5474;744720;12487;2790;ORGANIC;"NON-POLITICAL IRRELEVANT	"
102;internationalwomensday;5227;743232;12608;2798;ORGANIC;"NON-POLITICAL IRRELEVANT	"
103;internationalwomensday;6198;742630;13594;2800;ORGANIC;"NON-POLITICAL IRRELEVANT	"
104;internationalwomensday;5967;739485;12914;2783;ORGANIC;"NON-POLITICAL IRRELEVANT	"
105;trumprussia;3952;739109;42364;962;;"POLITICAL	IRRELEVANT	"
106;internationalwomensday;6023;738047;12882;2812;ORGANIC;"NON-POLITICAL IRRELEVANT	"
107;internationalwomensday;6027;735700;13310;2771;ORGANIC;"NON-POLITICAL IRRELEVANT	"
108;internationalwomensday;6226;733923;12388;2792;ORGANIC;"NON-POLITICAL IRRELEVANT	"
109;internationalwomensday;6024;733355;12256;2809;ORGANIC;"NON-POLITICAL IRRELEVANT	"
110;internationalwomensday;6068;733136;13248;2791;ORGANIC;"NON-POLITICAL IRRELEVANT	"
111;womensday;6579;724228;6707;2671;ORGANIC;"NON-POLITICAL IRRELEVANT	"
112;womensday;6425;723312;6216;2666;ORGANIC;"NON-POLITICAL IRRELEVANT	"
113;womensday;4810;717993;9099;2476;ORGANIC;"NON-POLITICAL IRRELEVANT	"
114;womensday;6804;717916;6400;2678;ORGANIC;"NON-POLITICAL IRRELEVANT	"
115;womensday;5175;715867;7441;2612;ORGANIC;"NON-POLITICAL IRRELEVANT	"
116;womensday;6374;710093;6210;2673;ORGANIC;"NON-POLITICAL IRRELEVANT	"
117;womensday;6448;707606;5607;2669;ORGANIC;"NON-POLITICAL IRRELEVANT	"
118;draintheswamp;3992;706323;17872;1077;ORGANIZED;"POLITICAL	TRUMP	"
119;notmypresident;9056;704616;38239;1138;ORGANIZED;"POLITICAL	HILLARY"
120;womensday;8392;704046;6847;2519;ORGANIC;"NON-POLITICAL IRRELEVANT	"
121;womensday;6302;702258;6505;2695;ORGANIC;"NON-POLITICAL IRRELEVANT	"
122;womensday;6358;698591;5441;2679;ORGANIC;"NON-POLITICAL IRRELEVANT	"
123;womensday;6279;693259;5937;2677;ORGANIC;"NON-POLITICAL IRRELEVANT	"
124;womensday;5844;687947;5625;2668;ORGANIC;"NON-POLITICAL IRRELEVANT	"
125;crookedhillary;4009;674734;8394;1107;ORGANIZED;"POLITICAL	TRUMP	"
126;votetrump;4194;654395;12313;1193;ORGANIZED;"POLITICAL	TRUMP	"
127;trumptrain;3952;640075;12539;1168;ORGANIZED;"POLITICAL	TRUMP	"
128;americafirst;3078;629037;4127;989;ORGANIZED;"POLITICAL	TRUMP	"
129;americafirst;2802;613196;4548;1073;ORGANIZED;"POLITICAL	TRUMP	"
130;americafirst;3049;612646;4410;1119;ORGANIZED;"POLITICAL	TRUMP	"
131;hillarybecause;2166;605714;1267;831;ORGANIZED;"POLITICAL	HILLARY"
132;americafirst;2882;605067;4715;1088;ORGANIZED;"POLITICAL	TRUMP	"
133;crookedhillary;3833;603563;6489;1031;ORGANIZED;"POLITICAL	TRUMP	"
134;americafirst;3027;601087;4676;980;ORGANIZED;"POLITICAL	TRUMP	"
135;neverhillary;3579;598946;8398;990;ORGANIZED;"POLITICAL	TRUMP	"
136;neverhillary;3579;598946;8398;990;ORGANIZED;"POLITICAL	TRUMP	"
137;pardonsnowden;1357;591805;1593;1183;;"IRRELEVANT	"
138;americafirst;2684;588447;4239;1042;ORGANIZED;"POLITICAL	TRUMP	"
139;americafirst;3341;581557;3961;1104;ORGANIZED;"POLITICAL	TRUMP	"
140;crookedhillary;3803;564297;8165;1003;ORGANIZED;"POLITICAL	TRUMP	"
141;maga;2573;563814;19262;856;ORGANIZED;"POLITICAL	TRUMP	"
142;thanksgiving;4575;539081;4461;2367;ORGANIC;"NON-POLITICAL IRRELEVANT	"
143;thanksgiving;4871;533521;4368;2358;ORGANIC;"NON-POLITICAL IRRELEVANT	"
144;thanksgiving;4227;528353;3472;2221;ORGANIC;"NON-POLITICAL IRRELEVANT	"
145;thanksgiving;4972;519738;5373;2359;ORGANIC;"NON-POLITICAL IRRELEVANT	"
146;thanksgiving;4831;511628;5978;2379;ORGANIC;"NON-POLITICAL IRRELEVANT	"
147;thepeoplespresident;2957;508217;1007;1143;;"POLITICAL	"
148;thanksgiving;4777;505758;4616;2317;ORGANIC;"NON-POLITICAL IRRELEVANT	"
149;thanksgiving;4635;505391;4654;2312;ORGANIC;"NON-POLITICAL IRRELEVANT	"
150;impeachtrumppence;1200;503056;2153;659;;"POLITICAL	IRRELEVANT	"
151;thanksgiving;4796;502007;4413;2273;ORGANIC;"NON-POLITICAL IRRELEVANT	"
152;thanksgiving;4494;500403;5500;2326;ORGANIC;"NON-POLITICAL IRRELEVANT	"
153;thanksgiving;3905;487052;4862;2209;ORGANIC;"NON-POLITICAL IRRELEVANT	"
154;thanksgiving;4547;486217;4586;2302;ORGANIC;"NON-POLITICAL IRRELEVANT	"
155;thanksgiving;4488;485916;4286;2270;ORGANIC;"NON-POLITICAL IRRELEVANT	"
156;oscarsfail;2085;481965;1853;1465;ORGANIC;"NON-POLITICAL IRRELEVANT	"
157;thanksgiving;4322;476306;6004;2199;ORGANIC;"NON-POLITICAL IRRELEVANT	"
158;thanksgiving;4019;473367;5311;2176;ORGANIC;"NON-POLITICAL IRRELEVANT	"
159;teamtrump;2965;466438;1289;647;ORGANIZED;"POLITICAL	TRUMP	"
160;lockherup;5393;458498;11096;558;ORGANIZED;"POLITICAL	TRUMP	"
161;lockherup;5382;458498;1459;556;ORGANIZED;"POLITICAL	TRUMP	"
162;trumprussia;2277;448835;23169;503;;"POLITICAL	IRRELEVANT	"
163;thanksgiving;3955;444415;6166;2135;ORGANIC;"NON-POLITICAL IRRELEVANT	"
164;tcot;5312;443077;13536;636;ORGANIZED;
165;crookedhillary;3501;429109;8701;948;ORGANIZED;"POLITICAL	TRUMP	"
166;strongertogether;3770;408725;4392;792;ORGANIZED;"POLITICAL	HILLARY"
167;strongertogether;3487;406124;4837;709;ORGANIZED;"POLITICAL	HILLARY"
168;makeamericagreatagain;7523;394806;8724;1399;ORGANIZED;"POLITICAL	TRUMP	"
169;makeamericagreatagain;7523;394806;8724;1399;ORGANIZED;"POLITICAL	TRUMP	"
170;gop;7225;391875;3792;1509;ORGANIZED;
171;strongertogether;3223;386377;4070;838;ORGANIZED;"POLITICAL	HILLARY"
172;strongertogether;3841;385430;4869;764;ORGANIZED;"POLITICAL	HILLARY"
173;tcot;3209;385071;3198;950;ORGANIZED;
174;strongertogether;4396;365418;4393;702;ORGANIZED;"POLITICAL	HILLARY"
175;strongertogether;3798;355784;3995;760;ORGANIZED;"POLITICAL	HILLARY"
176;election;4926;352417;2661;1033;ORGANIC;"POLITICAL	IRRELEVANT	"
177;hillarysemails;1541;351450;3912;727;ORGANIZED;"POLITICAL	TRUMP	"
178;election;6207;349610;2000;1117;ORGANIC;"POLITICAL	IRRELEVANT	"
179;brangelina;2288;347596;2961;1676;ORGANIC;"NON-POLITICAL IRRELEVANT	"
180;americafirst;1957;345208;1703;615;ORGANIZED;"POLITICAL	TRUMP	"
181;mydreampresidentis;1047;345177;1281;914;;"POLITICAL	"
182;election;6860;343092;2399;1073;ORGANIC;"POLITICAL	IRRELEVANT	"
183;news;11343;342025;75078;716;ORGANIC;"NON-POLITICAL IRRELEVANT	"
184;strongertogether;4165;338978;3689;769;ORGANIZED;"POLITICAL	HILLARY"
185;maga;6595;337988;34738;1033;;"POLITICAL	TRUMP	"
186;americafirst;1715;337559;2614;541;ORGANIZED;"POLITICAL	TRUMP	"
187;strongertogether;3335;337047;4205;624;ORGANIZED;"POLITICAL	HILLARY"
188;americafirst;1601;332791;3253;603;ORGANIZED;"POLITICAL	TRUMP	"
189;strongertogether;3806;332765;4292;771;ORGANIZED;"POLITICAL	HILLARY"
190;podestaemails20;3451;323992;4551;977;ORGANIZED;"POLITICAL	TRUMP	"
191;teamtrump;2283;323059;1307;633;ORGANIZED;"POLITICAL	TRUMP	"
192;americafirst;1592;322940;3138;579;ORGANIZED;"POLITICAL	TRUMP	"
193;maga;6925;322862;34252;969;;"POLITICAL	TRUMP	"
194;americafirst;1702;320518;3255;660;ORGANIZED;"POLITICAL	TRUMP	"
195;boycotthamilton;2271;317726;5356;1001;ORGANIZED;"POLITICAL	TRUMP	"
196;americafirst;1724;317491;2803;623;ORGANIZED;"POLITICAL	TRUMP	"
197;americafirst;1563;315680;2737;542;ORGANIZED;"POLITICAL	TRUMP	"
198;lockherup;1457;315588;3347;591;ORGANIZED;"POLITICAL	TRUMP	"
199;americafirst;1633;315517;2958;594;ORGANIZED;"POLITICAL	TRUMP	"
200;americafirst;1701;315351;2266;540;ORGANIZED;"POLITICAL	TRUMP	"
201;news;12076;313450;81227;617;ORGANIC;"NON-POLITICAL IRRELEVANT	"
202;americafirst;1591;312199;2869;579;ORGANIZED;"POLITICAL	TRUMP	"
203;ladygaganewvideo;7877;311428;41513;5124;;
204;election;4831;311270;2176;1068;ORGANIC;"POLITICAL	IRRELEVANT	"
205;ladygaganewvideo;2041;310908;7129;1486;ORGANIZED;"NON-POLITICAL IRRELEVANT	"
206;tcot;7340;309833;10294;980;ORGANIZED;
207;americafirst;1523;307848;2974;606;ORGANIZED;"POLITICAL	TRUMP	"
208;maga;5642;307574;32391;1019;;"POLITICAL	TRUMP	"
209;americafirst;1621;306646;2748;627;ORGANIZED;"POLITICAL	TRUMP	"
210;americafirst;1405;306470;2277;485;ORGANIZED;"POLITICAL	TRUMP	"
211;tcot;8543;306072;11358;855;ORGANIZED;
212;election;7178;304556;1752;990;ORGANIC;"POLITICAL	IRRELEVANT	"
213;podestaemails20;2734;301691;3948;872;ORGANIZED;"POLITICAL	TRUMP	"
214;imstillwithher;1221;301412;1972;810;;"POLITICAL	HILLARY"
215;news;11783;300772;75333;586;ORGANIC;"NON-POLITICAL IRRELEVANT	"
216;nationalsiblingsday;1247;297199;1681;960;ORGANIC;"NON-POLITICAL IRRELEVANT	"
217;tcot;7363;296905;9555;867;ORGANIZED;
218;americafirst;1705;296867;2917;527;ORGANIZED;"POLITICAL	TRUMP	"
219;podestaemails20;2917;295685;3707;903;ORGANIZED;"POLITICAL	TRUMP	"
220;wikileaks;1506;295405;5762;588;ORGANIZED;"POLITICAL	TRUMP	"
221;americafirst;1624;293849;3095;515;ORGANIZED;"POLITICAL	TRUMP	"
222;americafirst;1980;293567;2898;712;ORGANIZED;"POLITICAL	TRUMP	"
223;nationalsiblingsday;1239;291501;1498;948;ORGANIC;"NON-POLITICAL IRRELEVANT	"
224;nationalsiblingsday;1145;291180;1396;949;ORGANIC;"NON-POLITICAL IRRELEVANT	"
225;americafirst;1494;291175;2459;566;ORGANIZED;"POLITICAL	TRUMP	"
226;nationalsiblingsday;1138;290816;1252;944;ORGANIC;"NON-POLITICAL IRRELEVANT	"
227;trumptrain;6634;290604;10254;907;ORGANIZED;"POLITICAL	TRUMP	"
228;podestaemails20;3000;290287;3933;862;ORGANIZED;"POLITICAL	TRUMP	"
229;nationalsiblingsday;1179;288693;1351;957;ORGANIC;"NON-POLITICAL IRRELEVANT	"
230;nationalsiblingsday;1277;288247;1714;948;ORGANIC;"NON-POLITICAL IRRELEVANT	"
